Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
Combination Formula,,,组合公式,,,組合公式,,
Combinatorics,,,,,,,,
Common Logarithm,,,,,,,,
common ratio,,,,,,,,
Commutative,,,可交换,,,可交換,,
Comparison Test,,,比较测试,,,比較測試,,
Compatible Matrices,,,兼容矩阵,,,,,
Complement of a Set,,,补集,,,,,
Complement of an Angle,,,余角,,,,,
Complement of an Event,,,互补事件,,,,,
complementary angles,,,余角,,,,,
Complex Conjugate,,,共轭复数,,,,,
Complex Fraction,,,复杂的分数,,,,,
Complex Number Formulas,,,,,,,,
Complex Numbers,,,复数,,,複數,,
Complex Plane,,,复平面上,,,複平面上,,
Composite,,,复合材料,,,複合材料,,
Composite Number,,,复合数位,,,複合數位,,
Composition,,,组成,,,組成,,
Compound Fraction,,,复合分数,,,複合分數,,
Compound Inequality,,,复合不平等,,,複合不平等,,
Compound Interest,,,复合利率,,,複利,,
Compounded,,,复合,,,複合,,
Compounded Continuously,,,,,,,,
Compression,,,压缩,,,壓縮,,
Compute,,,计算,,,計算,,
Concave,,,凹,,,凹,,
Concave Down,,,凹下来,,,凹下來,,
Concave Up,,,凹起来,,,凹起來,,
Concentric,,,同心,,,同心,,
Conclusion,,,结论,,,感想,,
Concurrent,,,併发,,,併發,,
Conditional,,,有条件的,,,有條件的,,
Conditional Convergence,,,有条件的会合,,,有條件的會合,,
Conditional Equation,,,条件方程,,,條件方程,,
Conditional Inequality,,,有条件的不平等,,,有條件的不平等,,
Conditional Probability,,,条件概率,,,條件概率,,
Cone,,,锥,,,錐,,
Cone Angle,,,锥角,,,錐角,,
Congruence Tests for Triangles,,,三角形的全等证明,,,三角形的一致性測試,,
Congruent,,,全等,,,一致,,
Conic Sections,,,圆锥曲线,,,圓錐曲線,,
Conjecture,,,猜想,,,猜想,,
Conjugate Pair Theorem,,,共轭对定理,,,共軛對定理,,
Conjugates,,,结合物,,,結合物,,
Conjunction,,,结合,,,結合,,
Consecutive Interior Angles,,,连续的内角,,,連續的內角,,
constant,,NOUN,常数,,,恒,,
Constant Function,,,常数函数,,,常數函數,,
Constant Term,,,常数项,,,常數項,,
Continued Sum,,,持续的总和,,,持續的總和,,
Continuous,,,连续,,,連續,,
Continuous Compounding,,,连续复利,,,連續複利,,
Continuous Function,,,连续函数,,,連續函數,,
Continuously Compounded Interest,,,连续的复合利率,,,連續複利,,
Continuously Differentiable Function,,,连续可微函数,,,連續可微函數,,
Contraction,,,收缩,,,收縮,,
Contrapositive,,,倒置,,,倒置,,
Converge,,,收敛,,,收斂,,
Converge Absolutely,,,绝对收敛,,,絕對收斂,,
Converge Conditionally,,,收敛条件,,,收斂條件,,
Convergence Tests,,,收敛性分析,,,收斂性分析,,
Convergent Sequence,,,收敛数列,,,收斂數列,,
Convergent Series,,,收敛级数,,,收斂級數,,
Converse,,,相反的,,,相反的,,
Convex,,,凸,,,凸,,
Coordinate Geometry,,,,,,,,
coordinate plane,,,座标平面,,,座標平面,,
coordinate,,NOUN,坐标,,,坐標,,
Coplanar,,,共面,,,共面,,
Corollary,,,推论,,,推論,,
Correlation,,,相关,,,相關,,
Correlation coefficient,,,相关系数,,,相關係數,,
Corresponding angle,corresponding angles,,相应的,,,相應的,,
Ctg-1,,,Ctg-1,,,Ctg-1,,
Cube Root,,,立方根,,,立方根,,
Cubic Polynomial,,,三次多项式,,,三次多項式,,
Curve Sketching,,,草绘曲线,,,草繪曲線,,
Cusp,,,尖点,,,尖點,,
Cycloid,,,,,,,,
Cylindrical Shell Method,,,,,,,,
De Moivre’s Theorem,,,德莫瓦尔定理,,,德莫瓦爾定理,,
Decagon,,,十边形,,,十邊形,,
Deciles,,,十分位数,,,分層,,
Decreasing Function,,,递减函数,,,遞減函數,,
definite integral,,,定积分,,,定積分,,
Definite Integral Rules,,,定积分的规则,,,定積分的規則,,
Degenerate,,,堕落,,,墮落,,
Degenerate Conic Sections,,,退化的圆锥曲线,,,退化的圓錐曲線,,
Degree (angle measure),,,度 (角度测量),,,度 (角度測量),,
Degree of a Polynomial,,,多项式阶数,,,多項式階數,,
Degree of a Term,,,,,,,,
Del Operator,,,,,,,,
Denominator,,,分母,,,分母,,
Dependent Variable,,,因变量,,,因變數,,
derivative,,NOUN,导数,,,導數,,
Derivative of a Power Series,,,幂级数的导数,,,導數的冪級數,,
Descartes' Rule of Signs,,,笛卡尔的正负号规则,,,笛卡爾的正負號規則,,
Determinant,,,行列式,,,行列式,,
Diagonal Matrix,,,对角矩阵,,,對角矩陣,,
Diagonal of a Polygon,,,多边形的对角线,,,多邊形的對角線,,
Diameter,,,直径,,,直徑,,
Diametrically Opposed,,,截然相反,,,截然相反的,,
difference,,NOUN,差,,,差異,,
Difference Identities,,,,,,不同的身份,,
Difference Quotient,,,,,,差商,,
Differential,,,微分,,,微分方程,,
Differential Equation,,,微分方程,,,微分方程,,
Differentiation,,,分化,,,分化,,
Differentiation Rules,,,辨证规律,,,辨證規律,,
Dihedral Angle,,,二面角,,,二面角,,
Dilation,,,,,,,,
Dilation of a Graph,,,,,,一個圖的擴張,,
Dimensions,,,尺寸,,,尺寸,,
Dimensions of a Matrix,,,矩阵的尺寸,,,維度的矩陣,,
Direct Proportion,,,成正比,,,成正比,,
Direct Variation,,,直接的变化,,,直接的變化,,
Directly Proportional,,,成正比,,,成正比,,
Directrices of a Hyperbola,,,双曲线的准线,,,雙曲線的準線,,
Directrices of an Ellipse,,,椭圆的准线,,,橢圓的準線,,
Directrix of a Parabola,,,抛物线的准线,,,抛物線的準線,,
discontinuity,,,不连续性,,,不連續性,,
Discontinuous Function,,,非连续函数,,,非連續函數,,
Discrete,,,离散,,,離散,,
Discriminant of a Quadratic,,,二次方程的判别式,,,二次方程的判別式,,
Disjoint Events,,,不相交的事件,,,不相交的事件,,
Disjoint Sets,,,不相交集,,,不相交集,,
Disjunction,,,析取,,,析取,,
Disk Method,,,磁片的方法,,,磁片的方法,,
Distance Formula,,,距离公式,,,距離公式,,
Distance from a Point to a Line,,,从点到线距离,,,從點到線距離,,
Distinct,,,不同,,,不同,,
Distribute,,,分佈,,,分佈,,
Distributing Rules,,,分佈规律,,,分佈規律,,
Diverge,,,分歧,,,分歧,,
Divergent Sequence,,,发散数列,,,發散數列,,
Divergent Series,,,发散级数,,,發散級數,,
Dodecagon,,,自定,,,自定,,
Dodecahedron,,,十二面体,,,十二面體,,
Domain of Definition,,,域的定义,,,域的定義,,
Dot Product,,,点产品,,,點產品,,
Double Angle Identities,,,双角身份,,,雙角身份,,
Double Cone,,,双圆锥,,,雙圓錐,,
Double Number Identities,,,双数位识别码,,,雙數位識別碼,,
Double Root,,,双根,,,雙根,,
Doubling Time,,,倍增时间,,,倍增時間,,
Eccentricity,,,偏心,,,偏心,,
Ellipsoid,,,椭球,,,橢球,,
Elliptic Geometry,,,椭圆几何,,,橢圓幾何,,
Empty Set,,,空集,,,空集,,
End Behavior,,,端行为,,,端行為,,
Epsilon (Ε ε),,,Epsilon (立法 ε),,,Epsilon (立法 ε),,
"Equality, Properties of",,,平等的性质,,,平等的性質,,
constraint equation,.,,方程,,,方程,,
Equation Rules,,,公式规则,,,公式規則,,
Equiangular Triangle,,,等角三角形,,,等角三角形,,
Equidistant,,,等距,,,等距,,
equivalence relation,,,等价关系,,,等價關係,,
Equivalent Systems of Equations,,,方程的等效系统,,,方程的等效系統,,
Essential Discontinuity,,,重要的不连续性,,,重要的不連續性,,
Eta (Η η),,,Eta (Η η),,,Eta (Η η),,
Euclidean Geometry,,,欧几里德几何,,,歐幾裡德幾何,,
Euler Line,,,欧拉线,,,歐拉線,,
Euler's Formula,,,欧拉公式,,,歐拉公式,,
Euler's Formula (Polyhedra),,,欧拉公式 （多面体）,,,歐拉公式 （多面體）,,
evaluate,,,评价,,,評價,,
Even Function,,,偶函数,,,偶函數,,
Even Number,,,偶数,,,偶數,,
Exclusive (interval),,,独佔 （时间间隔）,,,獨佔 （時間間隔）,,
Exclusive or,,,独家或,,,獨家或,,
expand,,,扩大,,,擴大,,
Expected Value,,,期望值,,,期望值,,
Experiment,,,实验,,,實驗,,
Explicit Differentiation,,,明确分化,,,明確分化,,
Explicit Function,,,显式函数,,,顯式函數,,
Exponent,,,指数,,,指數,,
exponent rules,expression,,指数法则,,,指數法則,,
Exponential Decay,,,指数衰减,,,指數衰減,,
Exponential Function,,,幂指函数,,,冪指函數,,
Exponential Growth,,,呈指数级增长,,,呈指數級增長,,
Exponential Model,,,指数模型,,,指數模型,,
Exponentiation,,NOUN,求幂运算,,,求冪運算,,
Enter an exact expression.,.,,运算式,,,運算式,,
Exterior Angle of a Polygon,,,多边形的外角,,,多邊形的外角,,
Extraneous Solution,,,无关的解决方案,,,無關的解決方案,,
extreme value theorem,,,极值定理,,,極值定理,,
Extremum,,,极值,,,極值,,
Face of a Polyhedron,,,多面体的表面,,,多面體的表面,,
Factor of a Polynomial,,,一个多项式的因素,,,一個多項式的因素,,
Factor of an Integer,,,一个整数的因素,,,一個整數的因素,,
Factor Theorem,,,因数定理,,,因數定理,,
Factor Tree,,,因数树图,,,因數樹圖,,
Factorial,,,阶乘,,,階乘,,
Factoring Rules,,,约分规则,,,約分規則,,
Falling Bodies,,,往下掉的物体,,,往下掉的物體,,
Fibonacci Sequence,,,斐波那契序列,,,斐波那契序列,,
Finite,,,有限,,,有限,,
first Derivative,,,一阶导数,,,一階導數,,
First Derivative Test,,,第一次导数来验证,,,第一次導數來驗證,,
First Order Differential Equation,,,一阶微分方程,,,一階微分方程,,
First Quartile,,,第一个四分位数,,,第一個四分位數,,
Five Number Summary,,,五个数字摘要,,,五個數字摘要,,
Flip,,,翻转,,,翻轉,,
Floor Function,,,下取整函数,,,Floor 函數,,
Focal Radius,,,焦半径,,,焦半徑,,
FOIL Method,,,FOIL方式,,,FOIL方式,,
Formula,,,公式,,,公式,,
Fractal,,,分形,,,分形,,
Fraction Rules,,,分数规则,,,分數規則,,
Fractional Equation,,,分式方程,,,分式方程,,
Fractional Exponents,,,分数指数,,,分數指數,,
Fractional Expression,,,分数运算式,,,分數運算式,,
Function Operations,,,函数运算,,,函數運算,,
Theorem,,,定理,,,定理,,
Gambling Odds,,,赌博赔率,,,賭博賠率,,
Gamma (Γ γ),,,Gamma (Γ γ),,,伽瑪 (Γ γ),,
Gauss-Jordan Elimination,,,,,,,,
Gaussian Elimination,,,高斯消元法,,,高斯消元法,,
GCF,,,全球合作框架,,,全球合作框架,,
Geometric Figure,,,几何图,,,幾何圖,,
Mean,,,意思是,,,意思是,,
Geometric Progression,,,几何级数,,,幾何級數,,
geometric sequence,,,几何序列,,,幾何序列,,
geometric series,,,等比级数,,,等比級數,,
GLB,,,GLB,,,GLB,,
Glide,,,滑翔,,,滑翔,,
Glide Reflection,,,,,,,,
Golden Spiral,,,黄金螺旋,,,黃金螺旋,,
Graphic Methods,,,图形方法,,,圖形方法,,
Gravity,,,重力,,,重力,,
Great Circle,,,大圆,,,大圓,,
Greatest Common Factor,,,最大公因数,,,最大公因數,,
Greatest Integer Function,,,整数的最大功用,,,整數的最大功用,,
Greatest Lower Bound,,,最大的下限,,,最大的下限,,
Half Angle Identities,,,半形的身份,,,半形的身份,,
Half Number Identities,,,一半的数位识别码,,,一半的數位識別碼,,
Half-Closed Interval,,,半闭区间,,,半閉區間,,
Half-Life,,,半衰期,,,半衰期,,
Half-Open Interval,,,半开区间,,,半開區間,,
Harmonic Mean,,,调和平均值,,,調和平均值,,
Harmonic Progression,,,调和级数,,,調和級數,,
Harmonic Sequence,,,,,,,,
Harmonic Series,,,,,,,,
Pyramid,,,金字塔,,,金字塔,,
Helix,,,螺旋,,,螺旋,,
Heptagon,,,底座,,,底座,,
Hero’s Formula,,,英雄的公式,,,英雄的公式,,
Heron’s Formula,,,苍鹭的公式,,,蒼鷺的公式,,
Hexagon,,,,,,,,
Hexahedron,,,六面体单元,,,六面體單元,,
High Quartile,,,,,,,,
Higher Derivative,,,高阶导数,,,高階導數,,
Higher Quartile,,,,,,,,
HL Congruence,,,,,,,,
HL Similarity,,,HL 相似性,,,HL 相似性,,
Hole,,,孔,,,孔,,
Horizontal,,,水平,,,水平,,
Horizontal Compression,,,横向压缩,,,橫向壓縮,,
Horizontal Dilation,,,水准扩张,,,水準擴張,,
Horizontal Ellipse,,,,,,,,
Horizontal Hyperbola,,,,,,,,
Horizontal Line Equation,,,,,,,,
Horizontal Line Test,,,横线测试,,,橫線測試,,
Horizontal Parabola,,,,,,,,
Horizontal Reflection,,,横向影子,,,橫向影子,,
Horizontal Shift,,,横向位移,,,橫向位移,,
Horizontal Shrink,,,横向缩小,,,橫向縮小,,
Horizontal Stretch,,,横向拉伸,,,橫向拉伸,,
Horizontal Translation,,,横行变化,,,橫行變化,,
Hyperbola,,,双曲线,,,雙曲線,,
Hyperbolic Geometry,,,,,,,,
Hyperbolic Trig,,,,,,,,
Hyperbolic Trigonometry,,,,,,,,
Hypotenuse,,,斜边,,,斜邊,,
Hypothesis,,,假设,,,假設,,
Icosahedron,,,二十面体,,,二十面體,,
Identity (Equation),,,,,,,,
Identity Function,,,,,,,,
Identity Matrix,,,,,,,,
If-Then Statement,,,要是语句,,,"""要是""語句",,
Image of a Transformation,,,变换的图像,,,變換的圖像,,
Imaginary Numbers,,,虚数,,,虛數,,
imaginary component,,,,,,,,
implicit differentiation,,,,,,,,
Impossible Event,,,不可能的事件,,,不可能的事件,,
Improper Fraction,,,假分数,,,假分數,,
Improper Integral,,,,,,,,
Improper Rational Expression,,,,,,,,
Incenter,,,四面体,,,四面體,,
Incircle,,,,,,,,
Inclusive (interval),,,,,,,,
Inclusive or,,,,,,,,
Increasing Function,,,,,,,,
Indefinite Integral,,,不定积分,,,不定積分,,
Indefinite Integral Rules,,,不定积分规则,,,不定積分規則,,
Independent Events,,,独立的事件,,,獨立的事件,,
Independent Variable,,,独立变数,,,獨立變數,,
Indeterminate Expression,,,不确定的表达式,,,不確定的表達式,,
Indirect Proof,,,间接举证,,,間接舉證,,
Induction,,,,,,,,
Inequality,,,不平等,,,不平等,,
Infinite Geometric Series,,,无穷几何级数,,,無窮幾何級數,,
Infinite Limit,,,无限极限,,,無限極限,,
Infinite Series,.,,无穷级数,,,無窮級數,,
Infinitesimal,,,无穷,,,無窮,,
inflection Point,,,拐点,,,拐點,,
Initial Side of an Angle,,,初始侧的角,,,初始側的角,,
Initial Value Problem,,,初值问题,,,初值問題,,
Inner Product,,,内积,,,內積,,
Inradius,,,内径,,,內徑,,
Inscribed Circle,,,内切的圆,,,內切的圓,,
Instantaneous Acceleration,,,暂态加速度,,,暫態加速度,,
Instantaneous Velocity,,,暂态速度,,,暫態速度,,
integers,,NOUN,整数,,,整數,,
Integrable Function,,,可积函数,,,可積函數,,
Integral,,,积分,,,積分,,
Integral Methods,,,积分方法,,,積分方法,,
Integral of a Function,,,一个函数的积分,,,一個函數的積分,,
Integral of a Power Series,,,幂级数的积分,,,冪級數的積分,,
Integral Rules,,,积分规则,,,積分規則,,
Integral Table,,,积分表,,,積分表,,
Integral Test,,,积分测试,,,積分測試,,
Integral Test Remainder,,,积分测试的其余部分,,,積分測試的其餘部分,,
Integrand,,,被积函数,,,被積函數,,
Integration,,,整合,,,整合,,
Integration by Parts,,,部分积分法,,,部分積分法,,
Integration by Substitution,,,换元积分法,,,換元積分法,,
Integration Methods,,,集成方法,,,集成方法,,
interest,,,,,,,,
Interior Angle,,,内角,,,內角,,
Intermediate Value Theorem,,,介值定理,,,介值定理,,
Intersection,,,交集,,,交集,,
Interval Notation,,,间隔符号,,,間隔符號,,
Interval of Convergence,,,间隔的收敛性,,,間隔的收斂性,,
Invariant,,,不变,,,不變,,
inverse,,,对立性,,,對立性,,
Inverse Cosecant,,,反余割,,,反余割,,
Inverse Cosine,,,对立性弦值,,,對立性弦值,,
Inverse Cotangent,,,反余切,,,反餘切,,
Inverse Function,,,反函数,,,反函數,,
Inverse Proportion,,,成反比,,,成反比,,
Inverse Secant,,,反正割,,,反正割,,
Inverse Sine,,,反正弦值,,,反正弦值,,
Inverse Tangent,,,反正切值,,,反正切值,,
Inverse Trig,,,反三角函数,,,反三角函數,,
Inverse Trig Functions,,,反三角函数方程式,,,反三角函數方程式,,
Inverse Trigonometry,,,反三角函数,,,反三角函數,,
Inverse Variation,,,反相变化,,,反相變化,,
Inversely Proportional,,,成反比,,,成反比,,
Invertible Matrix,,,可逆矩阵,,,可逆矩陣,,
Iota (Ι ι),,,Iota (Ι ι),,,Iota (Ι ι),,
IQR,Inter Quartile Range,,IQR,,,IQR,,
Irrational Numbers,,,无理数,,,無理數,,
Isometry,,,等轴测图,,,等軸測圖,,
Isosceles Trapezoid,,,等腰梯形,,,等腰梯形,,
Iterative Process,,,反覆运算过程,,,反覆運算過程,,
Joint Variation,,,联合的变化,,,聯合的變化,,
Jump Discontinuity,,,跳不连续性,,,跳不連續性,,
Kappa (Κ κ),,,Kappa (Κ κ),,,Kappa (Κ κ),,
Kite,,,风筝,,,風箏,,
L'Hôpital's Rule,Regla de L'Hôpital,,罗必达法则,,,羅必達法則,,
Lambda (Λ λ),,,Lambda (Λ λ),,,Lambda (Λ λ),,
Lateral Area,,,外侧区,,,外側區,,
Lateral Surface Area,,,外侧表面积,,,外側表面積,,
Lateral Surface/Face,,,侧面表面,,,側面表面,,
Latus Rectum,,,黄螨直肠,,,黃蟎直腸,,
Law of Cosines,This law relates the lengths of the sides of a triangle to the cosine of one of its angles. (from Wiki),,余弦定理,,,余弦定理,,
Law of sines,,,正弦定理,,,正弦定理,,
LCM,least common multiple,,液晶显示模组,,,液晶顯示模組,,
Leading Coefficient,,,领先的系数,,,領先的係數,,
Leading Term,,,领先的词,,,領先的詞,,
Least Common Denominator,.,,最小公分母,,,最小公分母,,
Least Common Multiple,,,最小公倍数,,,最小公倍數,,
Least Integer Function,,,最小整数函数,,,最小整數函數,,
Least Upper Bound,,,最小上界,,,最小上界,,
Least-Squares Fit,,,最小二乘拟合,,,最小二乘擬合,,
Least-Squares Line,,,最小二乘行,,,最小二乘行,,
Least-Squares Regression Equation,,,,,,,,
Least-Squares Regression Line,,,,,,,,
Leg of a Right Triangle,,,直角三角形的角,,,直角三角形的角,,
Leg of a Trapezoid,,,梯形的角,,,梯形的角,,
Leg of an Isosceles Triangle,,,等腰三角形的角,,,等腰三角形的角,,
Lemma,,,引理,,,引理,,
Lemniscate,,,双纽,,,雙紐,,
Like Terms,,,一样的术语,,,一樣的術語,,
Limaçon,,,Limaçon,,,Limaçon,,
threshold,,,极限,,,極限,,
Limit Comparison Test,,,极限对比试验,,,極限對比試驗,,
Limit from Above,,,从上面限制,,,從上面限制,,
Limit from Below,,,从下面限制,,,從下面限制,,
Limit from the Left,,,从左边限制,,,從左邊限制,,
Limit from the Right,,,从右边限制,,,從右邊限制,,
Limit Involving Infinity,,,涉及无穷远处的极限,,,涉及無窮遠處的極限,,
Limit Test for Divergence,,,散度的极限测试,,,散度的極限測試,,
Limits of Integration,,,积分限,,,積分限,,
Line Segment,,,线段,,,線段,,
Linear,,,线性,,,線性,,
Linear Combination,,,线性组合,,,線性組合,,
Linear Equation,,,线性方程,,,線性方程,,
Linear Factorization,,,线性分解,,,線性分解,,
Linear Fit,,,线性拟合,,,線性擬合,,
Linear Inequality,,,线性不等式,,,線性不等式,,
Linear Pair of Angles,,,线性双的角度,,,線性雙的角度,,
